SKU, Subtotal, Total Price, VAT, Discount, Memory Usage
TEST-3030-RAW, 1320, 1980.0, 660.0, 0, 5 MB
TEST-3030-AMW, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3030-ANW, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3030-BLK, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3030-NAV, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3030-CHO, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3030-ESP, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3030-GRY, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3030-LGRY, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3030-PRM, 1420, 2130.0, 710.0, 0, 5 MB
TEST-3030-SAD, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3030-SGRY, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3030-WHT, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3036-RAW, 1320, 1980.0, 660.0, 0, 5 MB
TEST-3036-AMW, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3036-ANW, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3036-BLK, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3036-NAV, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3036-CHO, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3036-ESP, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3036-GRY, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3036-LGRY, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3036-PRM, 1420, 2130.0, 710.0, 0, 5 MB
TEST-3036-SAD, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3036-SGRY, 1620, 2430.0, 810.0, 0, 5 MB
TEST-3036-WHT, 1520, 2280.0, 760.0, 0, 5 MB
TEST-3048-RAW, 1430, 2145.0, 715.0, 0, 5 MB
TEST-3048-AMW, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3048-ANW, 1630, 2445.0, 815.0, 0, 5 MB
TEST-3048-BLK, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3048-NAV, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3048-CHO, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3048-ESP, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3048-GRY, 1630, 2445.0, 815.0, 0, 5 MB
TEST-3048-LGRY, 1630, 2445.0, 815.0, 0, 5 MB
TEST-3048-PRM, 1530, 2295.0, 765.0, 0, 5 MB
TEST-3048-SAD, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3048-SGRY, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3048-WHT, 1630, 2445.0, 815.0, 0, 5 MB
TEST-3630-RAW, 1430, 2145.0, 715.0, 0, 5 MB
TEST-3630-AMW, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3630-ANW, 1630, 2445.0, 815.0, 0, 5 MB
TEST-3630-BLK, 1730, 2595.0, 865.0, 0, 5 MB
TEST-3630-NAV, 1730, 2595.0, 865.0, 0, 5 MB
